filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,root_ttr_aw,log_ttr_aw,maas_ttr_aw,mattr50_aw,msttr50_aw,hdd42_aw,mtld_original_aw,mtld_ma_bi_aw,mtld_ma_wrap_aw
cix09pp.txt,61,46,29,27,32,19,0.5869565217391305,0.47540983606557374,0.7540983606557377,5.889696476913215,0.9313448972142149,0.03845513665847134,0.7733333333333333,0.72,0.8014733612830788,61.66624922118379,36.43333333333334,58.34426229508197
cq9zrdq.txt,17,15,9,9,8,6,0.6,0.5294117647058824,0.8823529411764706,3.6380343755449944,0.9558229022122232,0.035903235819242575,0.8823529411764706,0.8823529411764706,0.0,40.459999999999994,0.0,21.0
cb8qmny.txt,80,57,38,32,42,25,0.5614035087719298,0.475,0.7125,6.3727937358744,0.9226441564373197,0.04064749648804062,0.8122580645161293,0.8,0.8082995907046534,80.0,74.875,65.4625
cgr0i3e.txt,42,36,20,18,22,18,0.5,0.47619047619047616,0.8571428571428571,5.5549205986353085,0.9587575426481765,0.02540734660768832,0.8571428571428571,0.8571428571428571,0.8571428571428578,82.31999999999998,0.0,51.0
cavlbhs.txt,66,53,28,27,38,26,0.5094339622641509,0.42424242424242425,0.803030303030303,6.523849021904635,0.9476417886481491,0.028775458690014227,0.8223529411764708,0.84,0.8528243695020528,93.82153846153845,0.0,74.0
cf2ubvz.txt,74,54,33,29,41,25,0.5370370370370371,0.44594594594594594,0.7297297297297297,6.277372492166241,0.9267945442699305,0.039163392615980945,0.7704,0.78,0.8104262474402305,75.332,56.06666666666666,72.47945205479452
cj6e3l1.txt,114,78,50,41,64,37,0.5256410256410257,0.43859649122807015,0.6842105263157895,7.305369330337213,0.9198746366226386,0.03895433632980153,0.7803076923076923,0.8,0.8321227934823615,80.01536682088567,56.509565217391305,74.86842105263158
ch0psid.txt,32,28,13,13,19,15,0.4642857142857143,0.40625,0.875,4.949747468305833,0.9614709844115208,0.025598123870344457,0.875,0.875,0.0,71.68,0.0,39.0
cl2qexg.txt,81,63,36,32,45,31,0.5079365079365079,0.4444444444444444,0.7777777777777778,7.0,0.9428109372903556,0.029965685946671185,0.8043750000000003,0.78,0.8704934364744498,102.06000000000002,0.0,88.0
choztm2.txt,86,61,39,34,47,27,0.5573770491803278,0.45348837209302323,0.7093023255813954,6.577799165409743,0.9228902891408833,0.03986031149807728,0.7513513513513514,0.74,0.8171203622530141,73.45136186770428,49.66176470588235,67.79069767441861
